Tên Game,Mô Tả Game,iframe URL,Danh Mục,Định Dạng Hình
Delta Force Airborne,"This game offers a whole new level of graphics and sound design that completely immerses you in a realistic atmosphere of battles. 
Shoot and use tactical thinking to overcome obstacles and achieve victory together with your team. 
Explore a variety of maps, each of which is full of unique opportunities and strategic points.
Become a master of team play by coordinating with your teammates and using different character classes to create the perfect strategy.
Get ready for exciting battles where every decision you make can change the course of the battle!",https://play.wgplayground.com/ifr/23d59dc383e9318683a2ab37eacef8b9,action,png
Vexon,"Choose game mode:

Free-for-All: Fight alone�eliminate enemies and be the last one standing!

Team Deathmatch: Work with your team to defeat opponents and win the match.

- Play, complete challenges, and level up to unlock skins, weapons, and rewards in Battle Pass.

- Choose from assault rifles, A11 rifles, shotguns, and more. Customize and upgrade your loadout for a tactical advantage!

- Battle across diverse, well-designed environments with unique strategies.",https://play.wgplayground.com/ifr/a7ae750e0acb798e13ea47d778a5739c,action,png
Strykon,"Strykon is an exhilarating mobile game that plunges you into the heart of dynamic firefights and tactical missions. Designed specifically for fans of gun games and FPS (first-person shooters), this game will become your go-to entertainment!

In Strykon you can immerse yourself in a variety of thrilling game modes. As an offline shooter, this fps ensures you can enjoy high-quality shooting games anytime, anywhere.

Features of gun games: 

Different modes in shooter: 
Deathmatch! Become the ultimate strike commander and survive to be the last one standing in this crucial game!
Team Deathmatch! Lead your command forces to triumph in team battles!
Free for All! Battle like a pro commando and fight against all enemies in shooting game matches.

Various Arsenal: from classic pistols and rifles to powerful shotguns and sniper rifles, each gun in these gun games offers a unique feel and strategy. Upgrade your weapons to enhance their performance and give you the edge in combat!

Realistic Graphics and Sound: Experience the high-quality graphics and immersive sound effects that make every shot feel real. The detailed environments and lifelike animations add to the intensity of this FPS experience.

Battle Pass: Unlock exclusive rewards with the Battle Pass. Complete challenges to earn new weapons and consumables! The Battle Pass ensures there's always something to strive for, keeping the gameplay fresh and engaging!

Smooth Controls: Enjoy intuitive controls designed for mobile devices. Whether you're a seasoned shooter player or new to shooting games, the user-friendly interface ensures you can jump right into the action without a steep learning curve!

Join the Action! Dive into the world of Strykon and experience the thrill of top-tier gun games and FPS action. Whether you're completing missions, surviving against the odds, or unlocking exclusive rewards with the Battle Pass, Strykon delivers a comprehensive and satisfying shooting game experience. Join now and become the ultimate offline shooter!",https://play.wgplayground.com/ifr/62a6c43aa0a58f9f5c875c3ef1f9f0f2,action,png 
Kingdom match,,https://play.wgplayground.com/ifr/2916009ed073d17ae49a64371ee96e10,action,jpg
Dig a hole in Russia,,https://play.wgplayground.com/ifr/ae23afcd439724fbfca1826708db9600,puzzles,jpg
Robby: Bomberman,,https://play.wgplayground.com/ifr/4c3e3ab9a6b629cf7c8d7db7fc4bafcd,arcade,jpg
Billiards 3D: Russian Pyramid,,https://play.wgplayground.com/ifr/f20bcf737a0007f38bdd58604f4a0cb1,puzzles,jpg
8 Ball Pool Billiard,,https://play.wgplayground.com/ifr/e3f2e0b1cc366e4e67acca1bed1263a8,puzzles,jpg
Russian Fishing at Sea,,https://play.wgplayground.com/ifr/c87569ab8636a033c9a92bd569eade20,action,jpg
Commando Force 2,"Get ready for a gun games adventure with Commando Force 2 - offline shooter! Jump into a fast-paced shooter, where you can choose to fight with a team or go solo.

Main features of shooting games:

Different fps modes:
Team Battle: team up with other players to take on your opponents in gun shooting games! Work together, make a plan, and win these shooting games! 
Free for all: every player in the shooter for themselves! Show everyone you�re the king of the fps!

Battle Pass for gun shooting games:
With the Battle Pass, you can earn awesome rewards for offline shooter like special skins, weapons, and other items. Complete various challenges in gun games to unlock them! Show off your new gear and stand out in the shooter!

Awesome maps in gun shooting games:
Play on a variety of cool maps! Fight in different battlefields of shooting games. Each map is unique and offers different ways to play in fps. Use the environment to surprise your enemies and win gun games!

Large selection of weapons for intense shooter:
Choose from different weapons in gun shooting games! Whether you like rifles or shotguns, there�s something for everyone. Upgrade your guns and find the perfect weapon for your fps playstyle!

Easy shooting games controls:
The shooter offers easy and intuitive controls, so you can jump right into the action! The controls are designed to feel smooth and responsive, making it simple for anyone to play offline shooter. Move, aim, and shoot with ease!

Graphics and sounds:
Enjoy great graphics and cool sound effects which contain gun games! Beautiful visuals and realistic sounds keep the fps intense and exciting!

Simple and fun Gameplay:
Commando Force 2 is a shooter that is easy to play and loads of fun! Jump in, start playing, and get better with each battle. It�s simple to learn but it takes skill to master these shooting games!

Join the fun and dive into the action with Commando Force 2 - gun shooting games! Unlock new weapons, dominate the maps, and show everyone what you�ve got!",https://play.wgplayground.com/ifr/8f66fc9ec6754c65e7a3aec7ab463a2e,action,jpg
Candy Pop Mania,,https://play.wgplayground.com/ifr/ea4e382003e15f6f604541956bff1203,action,png
Match the Colors,,https://play.wgplayground.com/ifr/4af3f803c409e2f3ef9d44c8168e68c2,puzzle,jpg
Ball Puzzle,"Move the sliding tiles to create a path for the ball. Aim to win with few moves as possible. Iron tiles can't be moved. If you are stuck, you can undo your move or use the hint. Enjoy hours of gameplay in 240 levels ranging from Beginner to Expert.",https://play.wgplayground.com/ifr/6cdef64d44f8d5bfbe1b0f16353d7cd7,puzzle,png
Unblock Puzzle,"Challenging puzzle game for people of all ages. Simply unblock the red block out of the board by sliding the other blocks out of the way. Create an optimal path with minimal moves. If there is a difficult level, you can use the hint. The game comes with 4 difficulties ranging from Beginner to Expert. Enjoy hours of gameplay with 240 levels and keep your mind sharp.",https://play.wgplayground.com/ifr/60c7ca982b49c047fa8e32f1da843f45,puzzle,png
,,,action,jpg
,,,action,jpg
,,,action,jpg
,,,action,jpg
